Plate_number	Well	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_conc
3	D2	Std 3	NA	Standard	NO2	Water	1	31.25
3	E1	Std 4	NA	Standard	NO2	Water	1	62.5
3	E2	Std 4	NA	Standard	NO2	Water	1	62.5
3	F1	Std 5	NA	Standard	NO2	Water	1	125
3	F2	Std 5	NA	Standard	NO2	Water	1	125
3	G1	Std 6	NA	Standard	NO2	Water	1	250
3	G2	Std 6	NA	Standard	NO2	Water	1	250
3	H1	Std 7	NA	Standard	NO2	Water	1	500
3	H2	Std 7	NA	Standard	NO2	Water	1	500
3	A3	P1	1	Unknown	NO2	Water	1	NA
3	A4	P1	1	Unknown	NO2	Water	1	NA
3	B3	P1	2	Unknown	NO2	Water	1	NA
3	B4	P1	2	Unknown	NO2	Water	1	NA
3	C3	P1	3	Unknown	NO2	Water	1	NA
3	C4	P1	3	Unknown	NO2	Water	1	NA
3	D3	P2	1	Unknown	NO2	Water	1	NA
3	D4	P2	1	Unknown	NO2	Water	1	NA
3	E3	P2	2	Unknown	NO2	Water	1	NA
3	E4	P2	2	Unknown	NO2	Water	1	NA
3	F3	P2	3	Unknown	NO2	Water	1	NA
3	F4	P2	3	Unknown	NO2	Water	1	NA
3	G3	P4	1	Unknown	NO2	Water	1	NA
3	G4	P4	1	Unknown	NO2	Water	1	NA
3	H3	P4	2	Unknown	NO2	Water	1	NA
3	H4	P4	2	Unknown	NO2	Water	1	NA
3	A5	P4	3	Unknown	NO2	Water	1	NA
3	A6	P4	3	Unknown	NO2	Water	1	NA
3	B5	P5	1	Unknown	NO2	Water	1	NA
3	B6	P5	1	Unknown	NO2	Water	1	NA
3	C5	P5	2	Unknown	NO2	Water	1	NA
3	C6	P5	2	Unknown	NO2	Water	1	NA
3	D5	P5	3	Unknown	NO2	Water	1	NA
3	D6	P5	3	Unknown	NO2	Water	1	NA
3	E5	P6	1	Unknown	NO2	Water	1	NA
3	E6	P6	1	Unknown	NO2	Water	1	NA
3	F5	P6	2	Unknown	NO2	Water	1	NA
3	F6	P6	2	Unknown	NO2	Water	1	NA
3	G5	P6	3	Unknown	NO2	Water	1	NA
3	G6	P6	3	Unknown	NO2	Water	1	NA
3	H5	P7	1	Unknown	NO2	Water	1	NA
3	H6	P7	1	Unknown	NO2	Water	1	NA
