"Plate_number"	"Sample_name"	"Replicate"	"Treatment"	"Dilution_factor"	"Blanking_group"	"Ave_abs"	"StdDev_abs"	"Ave_abs_blanked"	"Ave_concentration_uM"	"StdDev_Concentration_uM"
3	"P2"	2	"NO2"	1	"Water"	0.07905	0.0265165042944955	0.0536	-34.5959489208577	29.46074662612
3	"P2"	3	"NO2"	1	"Water"	0.319	0.00282842712474619	0.29355	231.996738954857	3.14247964011947
3	"P4"	1	"NO2"	1	"Water"	0.1134	0.00197989898732233	0.08795	3.56808037078971	2.19973574808362
3	"P4"	2	"NO2"	1	"Water"	0.1168	0.00113137084989847	0.09135	7.34559709834724	1.25699185604778
3	"P4"	3	"NO2"	1	"Water"	0.1302	0	0.10475	22.2334571422504	0
3	"P5"	1	"NO2"	1	"Water"	0.12215	0.00176776695296637	0.0967	13.2896307725922	1.96404977507467
3	"P5"	2	"NO2"	1	"Water"	0.04535	0.000919238815542514	0.0199	-72.0378058969426	1.02130588303883
3	"P5"	3	"NO2"	1	"Water"	0.1372	0.00113137084989849	0.11175	30.0106974636924	1.2569918560478
3	"P6"	1	"NO2"	1	"Water"	0.1336	0.00197989898732233	0.10815	26.010973869808	2.19973574808362
3	"P6"	2	"NO2"	1	"Water"	0.0703	0.00212132034355964	0.04485	-44.3174993226601	2.3568597300896
3	"P6"	3	"NO2"	1	"Water"	0.17285	0.00120208152801714	0.1474	69.6190713864647	1.33555384705078
3	"P7"	1	"NO2"	1	"Water"	0.19505	0.000636396103067901	0.1696	94.2840335487521	0.707057919026889
3	"P7"	2	"NO2"	1	"Water"	0.02965	0.000212132034355965	0.0042	-89.4810449036053	0.235685973008961
3	"P7"	3	"NO2"	1	"Water"	0.03125	0.00134350288425444	0.0058	-87.70338997299	1.49267782905674
3	"P8"	1	"NO2"	1	"Water"	0.0321	0.00183847763108502	0.00665	-86.7590107911006	2.04261176607765
3	"P8"	2	"NO2"	1	"Water"	0.0938	0.00325269119345812	0.06835	-18.2081925292478	3.61385158613739
3	"P8"	3	"NO2"	1	"Water"	0.0936	0.00155563491861041	0.06815	-18.4303993955747	1.72836380206571
3	"P9"	1	"NO2"	1	"Water"	0.6878	0.00042426406871196	0.66235	641.746200461685	0.471371946017955
3	"P9"	2	"NO2"	1	"Water"	0.11315	0.00120208152801714	0.0877	3.29032178788107	1.33555384705078
3	"P9"	3	"NO2"	1	"Water"	0.1166	0.000424264068711931	0.09115	7.12339023202033	0.471371946017922
4	"P14"	1	"NO2"	1	"Water"	0.3482	0.00183847763108502	0.32185	259.906445123786	1.97726014062173
